paper_id,au_id,aff_id,aff_name
7E516A4E,804ADAD2,04F0A8A0,beihang university
7E516A4E,7FDE6FAB,04F0A8A0,beihang university
7E516A4E,7E285A6C,04F0A8A0,beihang university
7E525725,5B3A4348,,
7E525725,80DF4639,,
7E525725,841783BA,,
7E5273A5,029B4816,08EF476D,max planck society
7E5273A5,1EAFC7AC,08EF476D,max planck society
7E5273A5,3CC13982,08EF476D,max planck society
7E5273A5,7F35D021,08EF476D,max planck society
7E5273A5,7B069878,08EF476D,max planck society
7E5273A5,0426113E,4F10C1EB,french institute for research in computer science and automation
7E527D85,7E5F9CEC,4EF77785,hewlett packard
7E527D85,7C21CDCF,4EF77785,hewlett packard
7E5460CA,8316E808,,
7E5460CA,778025BB,,
7E5460CA,2A7BBDB8,,
7E5460CA,7E49C7DD,,
7E570862,8600B180,09DC92C5,indiana university bloomington
7E570862,8479A3CB,09DC92C5,indiana university bloomington
7E570862,775AE06D,09DC92C5,indiana university bloomington
7E572AD9,8488B059,4FF45383,ibm
7E572AD9,8106113E,4FF45383,ibm
7E572AD9,733E631A,4FF45383,ibm
7E572AD9,7EEACF51,4FF45383,ibm
7E572AD9,07BB7389,4FF45383,ibm
7E572AD9,804000ED,04B999C0,university of maryland baltimore county
7E57E586,8131243F,00784876,university of glasgow
7E57E586,05802146,00784876,university of glasgow
7E591A88,7E1C6621,,
7E596274,7D3628A6,33865634,weimar institute
7E596274,2B9838E2,33865634,weimar institute
7E5A9CD0,6FF9A5FC,05C86094,stanford university
7E5B0E5F,81099917,4FF45383,ibm
7E5B0E5F,7F676C3C,0368D319,university of lugano
7E5D0F37,7D71F0C1,0BF77E37,hong kong university of science and technology
7E5D0F37,815A4B73,0BF77E37,hong kong university of science and technology
7E5D0F37,7DDA7A0B,017C99DB,fudan university
7E5D9936,7AFAD5F5,,
7E5D9936,750BDFA6,,
7E5D9936,7ECA110E,,
7E5D9936,809ACD9D,,
7E5F3B25,828AA95B,0619822C,karlsruhe institute of technology
7E617DD0,7FED8A0E,,
7E61F93B,82B7DF05,4FF45383,ibm
7E63E819,8078F9A1,0B4EC93C,university of konstanz
7E63E819,49213053,0B4EC93C,university of konstanz
7E654134,7AC7BD33,005237C4,university of rochester
7E654134,7E7A3A69,0966B229,university of illinois at urbana champaign
7E654134,811051D8,0966B229,university of illinois at urbana champaign
7E654134,7F8EAE25,0966B229,university of illinois at urbana champaign
7E654134,8020C741,0966B229,university of illinois at urbana champaign
7E654134,7F0A6B5C,0966B229,university of illinois at urbana champaign
7E6597D6,7DAB02B8,09299093,university of ottawa
7E6597D6,812F3C3D,09299093,university of ottawa
7E671BC4,76681259,,
7E671BC4,7E6F51CD,,
7E67B16E,7DF638F0,0B546E88,durham university
7E67B16E,86201111,0B546E88,durham university
7E698921,7D05FBB8,07874D3C,university of iowa
7E698921,7EDD82B4,07874D3C,university of iowa
7E698921,855F6347,07874D3C,university of iowa
7E698921,7D4E138F,07874D3C,university of iowa
7E6A0D80,137569AB,,
7E6A0D80,849104A5,,
7E6A0D80,7DD35FBA,,
7E6AF667,7C305D6D,4EF77785,hewlett packard
7E6AF667,816B6B39,4EF77785,hewlett packard
7E6AF667,7EB9ECBC,4EF77785,hewlett packard
7E6AF667,8106436F,4EF77785,hewlett packard
7E6AF667,80104DE2,4EF77785,hewlett packard
7E6AF667,801719DB,4EF77785,hewlett packard
7E6AF667,2915CE74,4EF77785,hewlett packard
7E6AF667,84C3FC6C,4EF77785,hewlett packard
7E6B5BED,76A99F24,004B1FBC,fraunhofer society
7E6C2964,7F1BF537,0966B229,university of illinois at urbana champaign
7E6CC50F,7FCA28D6,,
7E6CC50F,8083ECC4,,
7E6CC50F,7D347E77,,
7E6CF241,7E355002,0223970B,korea university of technology and education
7E6CF241,85E04396,09630970,kaist
7E6CF241,7DA0BBD3,09630970,kaist
7E7154AD,78AC3043,,
7E7154AD,78BE1660,,
7E7154AD,77F77067,,
7E71E236,84AF7035,0966B229,university of illinois at urbana champaign
7E730701,7FA8E995,8623AC36,telefonica
7E75C21D,847D1723,0A6C6FB4,university of patras
7E75C21D,3F36EB82,0A6C6FB4,university of patras
7E75C21D,78045161,0A6C6FB4,university of patras
7E777933,847153F6,0134B592,peking university
7E7784CA,7ED5FAF0,09630970,kaist
7E7784CA,7F14B519,,
7E7784CA,812C1701,,
7E7874E3,0328B88F,,
7E7874E3,7C0E2CFF,,
7E789BE9,84EC24A6,,
7E789BE9,80F1C487,,
7E789BE9,7E803A44,,
7E7931DA,756D31EF,,
7E7931DA,7B5DA7BC,,
7E79B30C,7E39ACF9,,
7E7B686B,8631CE50,0A97E0C1,the chinese university of hong kong
7E7B686B,7E717172,0A97E0C1,the chinese university of hong kong
7E7B686B,84C8AD82,0A97E0C1,the chinese university of hong kong
7E7BF489,12C5E189,0045D9F6,technical university of berlin
7E7BF489,48C345AA,0045D9F6,technical university of berlin
7E7BF489,85BF17BC,0045D9F6,technical university of berlin
7E7BF489,856D9700,0045D9F6,technical university of berlin
7E7BF489,75195ABF,0045D9F6,technical university of berlin
7E7BF489,0C6BA21C,0045D9F6,technical university of berlin
7E7BFAE5,80999C7C,09630970,kaist
7E7BFAE5,82A4A48D,09630970,kaist
7E7C06CF,09FC4F4B,,
7E7CDF81,80ACF521,4FF45383,ibm
7E7CDF81,7D31B6D2,4FF45383,ibm
7E7CDF81,8500A0C0,4FF45383,ibm
7E7CDF81,77E4C73F,4FF45383,ibm
7E7E6C28,83E9DFCC,4EF77785,hewlett packard
7E7E6C28,7D2337B9,4EF77785,hewlett packard
7E7E6C28,7E60E429,4EF77785,hewlett packard
7E7E6C28,769F0F3C,4EF77785,hewlett packard
7E7E8DEF,80126371,092FD9CF,university of auckland
7E7E8DEF,7ECDBC18,01B1760F,university of manchester
7E7EACD6,8288BD19,038CB6F6,stony brook university
7E7EACD6,7E6FFB58,038CB6F6,stony brook university
7E7EACD6,80FF735F,038CB6F6,stony brook university
7E7EACD6,7EFAE564,038CB6F6,stony brook university
7E7EACD6,32D7CC01,038CB6F6,stony brook university
7E7EACD6,7F4E0AF3,038CB6F6,stony brook university
7E7EACD6,7AC26C92,038CB6F6,stony brook university
7E7EACD6,84DBF62B,038CB6F6,stony brook university
7E7F4954,1EAFC7AC,08EF476D,max planck society
7E7F4954,13C935D1,08EF476D,max planck society
7E7F4954,12F962D5,0A6C6FB4,university of patras
7E81CDF5,7982DD9E,05C86094,stanford university
7E81CDF5,0E26BDB3,05C86094,stanford university
7E823F8A,1EAFC7AC,,
7E823F8A,0426113E,,
7E823F8A,02889EDA,,
7E844145,80856F8E,090B77B3,university of waterloo
7E84CD97,79291EFB,0A2510E5,university of pittsburgh
7E84F333,80E3A12E,4FF45383,ibm
7E84F333,7D7E8B73,4FF45383,ibm
7E853CCF,09925031,,
7E853CCF,76830932,,
7E853CCF,7FF1D420,,
7E8570B5,7B512ABB,0C33EF81,university of paris
7E8570B5,6D72B843,0C33EF81,university of paris
7E85C2FC,7BC564A7,,
7E85C2FC,806D72B3,,
7E885680,7D7584BC,,
7E885680,7D7A9E49,,
7E885680,816A0E02,,
7E8856CF,6A08C893,09B48D0B,indian institute of technology bombay
7E8856CF,7D5E91AA,09B48D0B,indian institute of technology bombay
7E8856CF,7E006A4E,09B48D0B,indian institute of technology bombay
7E8856CF,7F93EEA3,09B48D0B,indian institute of technology bombay
7E88DE5F,80CD56B1,0A97E0C1,the chinese university of hong kong
7E88DE5F,7E717172,0A97E0C1,the chinese university of hong kong
7E88DE5F,84C8AD82,0A97E0C1,the chinese university of hong kong
7E899F03,7D77D7F3,,
7E899F03,7CEFCADF,,
7E899F03,7DEC4074,,
7E8D22AA,8507E560,0698C4D9,infosys
7E8D22AA,86202FAB,0698C4D9,infosys
7E8D22AA,7FF36F9F,0698C4D9,infosys
7E8EE794,7DB54482,0BF77E37,hong kong university of science and technology
7E8EE794,7EC1A2DC,3333E44B,virginia tech
7E90F00A,8506BB73,0966B229,university of illinois at urbana champaign
7E91E1B4,804989F3,,
7E91E1B4,799430CB,,
7E91EB65,80ED285D,00784876,university of glasgow
7E91EB65,17F37D50,34DF872C,university of amsterdam
7E91EB65,7D309E3E,34DF872C,university of amsterdam
7E9369DA,863846CF,08D7E515,national chiao tung university
7E9369DA,80FCE2C5,08D7E515,national chiao tung university
7E93FD83,806A9D84,4FF45383,ibm
7E93FD83,858AD332,4FF45383,ibm
7E93FD83,38C8BD5C,4FF45383,ibm
7E93FD83,8296CE80,4FF45383,ibm
7E93FD83,08AB7E27,4FF45383,ibm
7E93FD83,7C74928A,4FF45383,ibm
7E93FD83,7B1A02BE,4FF45383,ibm
7E955892,84F6F3F8,017C99DB,fudan university
7E955892,7ED69B2C,017C99DB,fudan university
7E95611A,863E0C65,,
7E95611A,86279356,,
7E95E328,8542A715,0BF77E37,hong kong university of science and technology
7E95E328,849963EE,0A97E0C1,the chinese university of hong kong
7E95E328,84C8AD82,0A97E0C1,the chinese university of hong kong
7E962B40,82A00130,083839C7,north carolina state university
7E962B40,84724179,083839C7,north carolina state university
7E965916,017E7DC0,06EB0D45,university of rome tor vergata
